id,country,capital city,latitude,longitude
MDV,Maldives,Male,4.17,73.50888
MLI,Mali,Bamako,12.65,-8
MLT,Malta,Valletta,35.9,14.51472
MHL,Marshall Islands,Majuro,7.09,171.38027
MTQ,Martinique,Fort-de-France,14.61,-61.07334
MRT,Mauritania,Nouakchott,18.09,-15.9785
MUS,Mauritius,Port Louis,-20.16,57.49889
MYT,Mayotte,Mamoudzou,-12.78,45.227222
MEX,Mexico,Ciudad de México (Mexico City),19.43,-99.141869
FSM,Micronesia (Fed. States of),Palikir,6.92,158.158791
MCO,Monaco,Monaco,43.73,7.41667
MNG,Mongolia,Ulaanbaatar,47.91,106.88324
MNE,Montenegro,Podgorica,42.44,19.26361
MSR,Montserrat,Brades Estate,16.79,-62.21058
MAR,Morocco,Rabat,34.01,-6.83255
MOZ,Mozambique,Maputo,-25.97,32.58917
MMR,Myanmar,Nay Pyi Taw,19.75,96.12972
NAM,Namibia,Windhoek,-22.56,17.08323
NRU,Nauru,Nauru,-0.53,166.911192
NPL,Nepal,Kathmandu,27.7,85.3206
NLD,Netherlands,Amsterdam,52.37,4.88969
NCL,New Caledonia,Nouméa,-22.28,166.4572
NZL,New Zealand,Wellington,-41.29,174.77557
NIC,Nicaragua,Managua,12.13,-86.2504
NER,Niger,Niamey,13.51,2.1098
NGA,Nigeria,Abuja,9.06,7.48976
NIU,Niue,Alofi,-19.06,-169.921281
N_MARIANAS,Northern Mariana Islands,Saipan,15.21,145.7545
NOR,Norway,Oslo,59.91,10.74609
OMN,Oman,Masqat (Muscat),23.61,58.5922
PAK,Pakistan,Islamabad,33.7,73.059373
PLW,Palau,Koror,7.34,134.47888
PAN,Panama,Ciudad de Panamá (Panama City),9,-79.519572
PNG,Papua New Guinea,Port Moresby,-9.44,147.17972
PRY,Paraguay,Asunción,-25.3,-57.63591
PER,Peru,Lima,-12.04,-77.02824
PHL,Philippines,Manila,14.6,120.9822
POL,Poland,Warszawa (Warsaw),52.23,21.01178
PRT,Portugal,Lisboa (Lisbon),38.72,-9.139867
PRI,Puerto Rico,San Juan,18.47,-66.10572
QAT,Qatar,Ad-Dawhah (Doha),25.27,51.524472
KOR,South Korea,Seoul,37.57,126.97783
MDA,Moldova,Chi?in?u,47.01,28.8575
REU,Réunion,Saint-Denis,-20.88,55.4504
ROU,Romania,Bucuresti (Bucharest),44.43,26.104302
RUS,Russia,Moskva (Moscow),55.75,37.621849
RWA,Rwanda,Kigali,-1.95,30.057897
SHN,Saint Helena,Jamestown,-15.94,-5.71675
KNA,Saint Kitts and Nevis,Basseterre,17.29,-62.7261
LCA,Saint Lucia,Castries,14.01,-60.99096
SPM,Saint Pierre and Miquelon,Saint-Pierre,46.77,-56.181465
VCT,Saint Vincent and the Grenadines,Kingstown,13.16,-61.22475
WSM,Samoa,Apia,-13.83,-171.76666
SMR,San Marino,San Marino,43.93,12.45
STP,Sao Tome and Principe,São Tomé,0.34,6.72732
SAU,Saudi Arabia,Ar-Riyadh (Riyadh),24.69,46.709566
SEN,Senegal,Dakar,14.69,-17.44406
SRB,Serbia,Beograd (Belgrade),44.82,20.463309
SYC,Seychelles,Victoria,-4.62,55.45
SLE,Sierra Leone,Freetown,8.48,-13.22994
SGP,Singapore,Singapore,1.29,103.85007
STMAR,St. Martin,Philipsburg,18.03,-63.04582
SVK,Slovakia,Bratislava,48.15,17.10674
SVN,Slovenia,Ljubljana,46.05,14.50513
SLB,Solomon Islands,Honiara,-9.43,159.95
SOM,Somalia,Muqdisho (Mogadishu),2.04,45.343492
ZAF,South Africa,Cape Town,-33.93,18.42322
SSD,South Sudan,Juba,4.85,31.58247
ESP,Spain,Madrid,40.42,-3.70256
LKA,Sri Lanka,Colombo,6.93,79.84778
PSE,State of Palestine,Ramallah,31.9,35.19555
SDN,Sudan,Al-Khartum (Khartoum),15.55,32.53241
SUR,Suriname,Paramaribo,5.87,-55.16682
SWZ,Swaziland,Mbabane,-26.32,31.13333
SWE,Sweden,Stockholm,59.33,18.0649
CHE,Switzerland,Bern,46.95,7.44744
SYR,Syrian Arab Republic,Dimashq (Damascus),33.51,36.308444
TJK,Tajikistan,Dushanbe,38.54,68.77905
MKD,Macedonia,Skopje,42,21.43333
THA,Thailand,Krung Thep (Bangkok),13.72,100.525248
TLS,East Timor,Dili,-8.56,125.566848
TGO,Togo,Lomé,6.14,1.21227
TKL,Tokelau,Tokelau,-9.38,-171.25
TON,Tonga,Nuku'alofa,-21.14,-175.203246
TTO,Trinidad and Tobago,Port of Spain,10.67,-61.51657
TUN,Tunisia,Tunis,36.82,10.16579
TUR,Turkey,Ankara,39.92,32.85427
TKM,Turkmenistan,Ashgabat,37.95,58.38333
TCA,Turks and Caicos Islands,Cockburn Town,21.46,-71.14188
TUV,Tuvalu,Funafuti,-8.52,179.199098
UGA,Uganda,Kampala,0.32,32.58219
UKR,Ukraine,Kyiv (Kiev),50.45,30.518634
ARE,United Arab Emirates,Abu Zaby (Abu Dhabi),24.46,54.361781
GBR,United Kingdom,London,51.51,-0.12574
TZA,United Republic of Tanzania,Dodoma,-6.17,35.73947
USA,United States of America,"Washington, D.C.",38.9,-77.03637
VIR,United States Virgin Islands,Charlotte Amalie,18.34,-64.9307
URY,Uruguay,Montevideo,-34.83,-56.16735
UZB,Uzbekistan,Tashkent,41.26,69.21627
VUT,Vanuatu,Port Vila,-17.73,168.32188
VEN,Venezuela (Bolivarian Republic of),Caracas,10.49,-66.87919
VNM,Vietnam,Hà Noi,21.02,105.84117
WLF,Wallis and Futuna Islands,Matu-Utu,-13.28,-176.17453
ESH,Western Sahara,El Aaiún,27.15,-13.201359
YEM,Yemen,Sana'a',15.35,44.20782
ZMB,Zambia,Lusaka,-15.41,28.277148
ZWE,Zimbabwe,Harare,-17.83,31.05389
TWN,Taiwan,Taipei City,25.105497,121.597366
YUG,Yugoslavia,Belgrade,44.7866,20.4489
CHESLO,Czechoslovakia,Prague,50.09,14.42076
KOS,Kosovo,Pristina,42.667542,21.166191
